,target-target-EEG-all,target-nontarget-EEG-all,target-target-EEG-all_tp2,target-nontarget-EEG-all_tp2,target-target-EEG-large,target-nontarget-EEG-large,target-target-EEG-large_tp2,target-nontarget-EEG-large_tp2,target-target-EEG-small,target-nontarget-EEG-small,target-target-EEG-small_tp2,target-nontarget-EEG-small_tp2
A,0.764356692,0.910876694,0.080447462,-0.338557172,0.79129035,0.932065709,-0.448135727,-0.322515529,0.897516099,0.932560579,-0.308333033,-0.127934208
B,0.854342436,0.909140377,0.022011809,-0.32263322,0.896339646,0.975673528,-0.481385158,-0.212376305,0.957889007,0.973355173,-0.376574323,-0.023859016
P5,0.805160635,0.738799298,0.431268936,-0.460766603,0.856141123,0.786671426,-0.093460636,-0.57686376,0.915535453,0.929225893,-0.067585775,-0.238273439
P4,0.807843776,0.855375228,0.231178154,-0.27358935,0.89484241,0.933985674,-0.15202841,0.117952671,0.954148029,0.972860131,-0.311134525,0.015319123
Cp2,0.769176333,0.275531284,0.192452815,-0.234881755,0.829678036,0.086035394,-0.127444339,0.134306819,0.835711964,0.631447071,-0.127107913,-0.070657232
Cp1,0.794124205,0.276452901,0.214536704,-0.282603263,0.842300657,0.085690637,-0.10263662,0.06614733,0.820620994,0.645262236,-0.058006765,-0.061518347
C1/3,0.802539898,0.362012648,0.24788729,-0.326149408,0.848977275,0.343341935,-0.058126665,0.014945791,0.830085504,0.726109954,-0.014132943,-0.094631764
Cz,0.794139551,0.006038694,0.238929541,-0.261726339,0.830035247,-0.183977855,-0.037236936,0.082622849,0.773849332,0.067793211,-0.002643852,-0.079714335
FCz,0.624979732,-0.142122894,0.346690663,-0.313376057,0.640371483,-0.495806108,0.285514921,-0.117949748,0.231409909,-0.256040106,0.194418637,-0.299242969
C2/4,0.756049002,0.414596961,0.251645335,-0.236503709,0.841092143,0.335271178,-0.038452872,0.124887136,0.818774837,0.561771005,-0.030711508,-0.075685136
FC6,0.635197416,0.421449993,0.581930729,-0.473288634,0.787164923,0.048368272,0.179577385,-0.583328389,0.66606206,0.035646705,-0.021539714,-0.55833637
F4,0.483992882,-0.133944152,0.557912703,-0.723795476,0.410423939,-0.287375529,0.56159757,-0.616936378,-0.374665007,0.134309278,0.305333834,-0.498354495
F3,0.691861369,-0.224159295,0.404678112,-0.752650858,0.716679976,-0.599272854,0.460285129,-0.708727682,0.27069741,-0.581896112,0.376934339,-0.531312251
FC5,0.590881858,-0.471298151,0.158732303,-0.62824959,0.794160085,-0.751829536,-0.34597459,-0.60815311,0.712228724,-0.747594746,0.087951905,-0.356375097
H,0.007028318,0.364397569,0.28867194,0.036328099,-0.166425819,0.364383091,0.191235567,0.212515879,-0.151151519,0.041832955,0.066663611,0.744766914
G,0.384426109,0.434394396,0.066618637,0.477640373,0.189273714,0.606977145,0.075830296,0.608761717,0.227941646,0.500531232,0.47686841,0.905559039
,,,,,,,,,,,,
,,,,,,,,,,,,
,target-target-fNIRS-all,target-nontarget-fNIRS-all,target-target-fNIRS-all_tp2,target-nontarget-fNIRS-all_tp2,target-target-fNIRS-large,target-nontarget-fNIRS-large,target-target-fNIRS-all_large,target-nontarget-fNIRS-all_large,target-target-fNIRS-small,target-nontarget-fNIRS-small,target-target-fNIRS-all_small,target-nontarget-fNIRS-all_small
