,target-target-EEG-all,target-nontarget-EEG-all,target-target-EEG-all_tp2,target-nontarget-EEG-all_tp2,target-target-EEG-large,target-nontarget-EEG-large,target-target-EEG-large_tp2,target-nontarget-EEG-large_tp2,target-target-EEG-small,target-nontarget-EEG-small,target-target-EEG-small_tp2,target-nontarget-EEG-small_tp2
A,0.59192126,0.65758592,0.722514836,0.009903095,-0.055095404,0.480240909,0.673370477,0.325073172,-0.539217428,0.46532152,0.675693978,-0.090058619
B,0.643821206,0.705500687,0.760743262,0.162988623,0.099479511,0.655989643,0.724475759,0.420048669,-0.501500991,0.60751523,0.727353885,0.004278548
P5,0.371022335,0.418979546,0.696642261,-0.359781837,-0.306662942,0.421666523,0.536787655,-0.021894192,-0.530464349,0.575162886,0.365740726,-0.154196748
P4,0.577836092,0.555393627,0.781316759,-0.578733274,0.016008992,0.607894823,0.777115387,-0.150053801,-0.547691145,0.726699694,0.71822057,-0.313912378
Cp2,0.255756402,0.269292358,-0.301193811,-0.005469129,-0.230789369,0.465075679,-0.603671559,0.45954825,-0.485747926,0.692805878,-0.816780337,0.473357172
Cp1,0.246174257,0.258349176,-0.350803312,-0.006293137,-0.199096007,0.467297954,-0.604321848,0.471022585,-0.417022624,0.701483727,-0.799178607,0.540184404
C1/3,0.253246119,0.260341187,-0.309719394,0.090674058,-0.164189899,0.467130595,-0.539580471,0.552080136,-0.350830504,0.691610192,-0.756588329,0.594047253
Cz,0.003390705,0.460354608,-0.362082716,-0.044676306,-0.366578965,0.576993856,-0.580047339,0.421303899,-0.527596489,0.77382555,-0.788334553,0.533497153
FCz,-0.221542212,0.571586781,-0.366110614,0.197893502,-0.196230578,0.689046522,-0.372066026,0.5876171,-0.263573571,0.77527036,-0.584323066,0.745912316
C2/4,0.035124988,0.425020047,-0.247824607,0.000286699,-0.332134548,0.589673565,-0.54399271,0.461043799,-0.505589435,0.79640876,-0.77925652,0.511228293
FC6,-0.309105388,-0.131102478,0.461382612,-0.926326387,-0.260647557,0.199451587,0.047838557,-0.84835142,-0.126372616,0.710748378,-0.013117091,-0.690624444
F4,0.030147107,0.682497466,0.37238631,-0.069821599,0.038262905,0.731047931,0.204039152,0.82895188,0.019207057,0.837192391,-0.178534955,0.862777037
F3,0.357605846,0.633839975,0.408169634,0.652151666,0.292870369,0.661787706,0.685403349,0.862620461,0.146026537,0.710326623,0.428766411,0.895338204
FC5,0.4952056,0.439770705,0.3665253,0.388005464,0.529443685,0.46418527,0.395556838,0.82941597,0.353561442,0.270466501,0.354551031,0.84891436
H,0.66481721,0.373639921,-0.483054308,-0.832070683,0.024114085,-0.185140252,-0.340803219,-0.550985069,0.612041236,0.054264022,-0.322355931,-0.372424006
G,0.291364679,-0.248424607,0.098176182,-0.335323753,-0.329342217,-0.68461657,0.782028721,0.601840848,0.236766476,-0.41339017,0.497105917,0.491317398
