,target-target-fNIRS-all,target-nontarget-fNIRS-all,target-target-fNIRS-all-tp2,target-nontarget-fNIRS-all-tp2,target-target-fNIRS-large,target-nontarget-fNIRS-large,target-target-fNIRS-large-tp2,target-nontarget-fNIRS-large-tp2,target-target-fNIRS-small,target-nontarget-fNIRS-small,target-target-fNIRS-small-tp2,target-nontarget-fNIRS-small-tp2
R1-L01,-0.038703661,0.249149071,0.548112096,-0.888519464,0.262076324,0.88106945,0.53145397,-0.657641293,-0.091729307,0.817365803,0.755945714,-0.547694521
R1-L02,0.192036655,0.075863988,0.781340099,-0.938626784,-0.027019467,0.73867493,0.677799039,-0.888472853,-0.148173646,0.893560373,0.516200677,0.130722979
R1-L03,-0.044730284,0.020756545,0.8331816,-0.929423553,0.321831059,0.706537441,0.63789854,-0.850460432,0.795935069,0.729505125,0.40951994,-0.740369503
R2-L01,-0.150256799,0.395292696,0.608291931,-0.818908851,0.131393056,0.895646065,0.437225691,-0.544427588,-0.298898235,0.740666503,0.510419364,0.1581878
R2-L03,-0.239297547,0.550861805,0.866033959,-0.75253369,-0.176343273,0.936410038,0.750292847,-0.507627628,0.536058031,0.947631144,0.963766783,0.685320836
R2-L04,-0.2512682,0.376736367,0.796404537,-0.734569579,-0.214250585,0.933820433,0.551680209,-0.438000724,0.693634387,0.97873794,0.489329798,-0.253273516
R3-L02,-0.327651481,0.236500648,0.721744747,-0.512633102,-0.073622538,0.654346916,0.63054711,-0.114358003,0.767638289,0.702749336,0.813823744,0.311936147
R3-L03,-0.369988983,0.623631738,0.766827817,-0.824747118,-0.328676422,0.895345199,0.598642581,-0.592341341,0.332347058,0.975301221,0.809350928,-0.613010633
R3-L05,-0.377906052,0.165289886,0.725483405,-0.384529875,-0.670126768,0.669221776,0.503517887,-0.065540123,-0.666806319,0.326317759,0.619897442,0.439736398
R4-L03,-0.205660391,-0.067419153,0.814094732,-0.8440431,-0.100488688,0.38764977,0.569681816,-0.611250957,0.151212274,0.422417609,0.353568904,-0.317122192
R4-L04,-0.741183049,-0.169332802,0.867530778,-0.883873539,-0.754474686,0.418997037,0.672226296,-0.846100482,0.174045337,0.709171313,0.020054248,-0.512504029
R4-L05,0.140411185,-0.271749439,0.792832066,-0.854401552,-0.352053321,-0.281946779,0.662205058,-0.657327675,-0.542523455,-0.39562505,0.45723238,0.94109428
R5-L6,-0.226597319,-0.502861495,0.854797469,-0.016298811,-0.191705707,-0.061351442,0.739719755,-0.191279128,-0.025806567,0.5102101,0.849546612,0.853847383
R5-L7,0.072964984,0.28191338,0.739342134,-0.797137581,-0.019622034,0.469789531,0.741222685,-0.623106961,-0.508977052,0.561734624,0.970769655,-0.692214887
R5-L8,0.299603673,-0.572144743,0.780758984,-0.939660789,0.191572163,-0.049727697,0.795161714,-0.82388836,-0.510723918,-0.29566349,0.983707026,-0.778140969
R6-L6,-0.384603643,-0.16640553,0.891373673,-0.638937841,-0.627332692,-0.173897232,0.894169311,-0.324205954,-0.739902211,0.908647263,0.91835764,0.719896386
R6-L8,-0.117188639,-0.039280527,0.439030838,-0.832019554,-0.270410916,0.286977146,0.491199615,-0.734453048,0.059662993,0.869982202,0.729391612,0.274510294
R6-L9,0.1616644,0.60451487,-0.438873892,-0.517947427,-0.060592468,0.665517748,-0.530584657,0.241493633,-0.843240887,0.833313131,-0.548538626,-0.453965198
R7-L7,0.311123818,-0.026647862,0.717814598,-0.941034687,-0.4517557,0.83213548,0.72661408,-0.890301166,-0.789156883,0.973921539,0.85462962,-0.712308699
R7-L8,0.077293565,-0.02294299,0.802877731,-0.942999246,0.07037107,0.745469482,0.802922668,-0.897719403,-0.129302756,0.975320258,0.975052738,-0.804920093
R7-L10,-0.417607145,-0.155672684,0.892544373,-0.872885503,-0.146950169,0.380962667,0.887403783,-0.728088667,0.024121308,0.453301068,0.933846675,-0.514778548
R8-L8,0.378519399,-0.107842026,0.81944415,-0.901591396,0.520370202,-0.045762567,0.862331,-0.771066078,-0.08543732,0.158306907,0.93810267,-0.446322986
R8-L9,-0.103912427,0.631436447,0.404834329,-0.580053543,-0.665069538,0.471643021,0.014149808,0.033613169,-0.713960887,0.045063948,0.823798779,0.521137674
R8-L10,0.209586134,-0.322742607,0.893405466,-0.827781478,0.253853498,-0.326286622,0.921008738,-0.676087245,0.453128311,-0.634163525,0.925707567,0.475251439
