,target-target-fNIRS-all,target-nontarget-fNIRS-all,target-target-fNIRS-all-tp2,target-nontarget-fNIRS-all-tp2,target-target-fNIRS-large,target-nontarget-fNIRS-large,target-target-fNIRS-large-tp2,target-nontarget-fNIRS-large-tp2,target-target-fNIRS-small,target-nontarget-fNIRS-small,target-target-fNIRS-small-tp2,target-nontarget-fNIRS-small-tp2
R1-L01,0.472168203,0.696349473,0.429443941,-0.193054411,-0.082830262,0.56324056,0.517099248,-0.036027229,0.080696096,0.719100677,0.916414938,0.222305033
R1-L02,-0.301524087,0.011189177,-0.130222548,-0.238362014,-0.717169943,-0.039430488,0.225583791,0.055205893,-0.026806377,-0.417714589,0.785155085,-0.182686216
R1-L03,0.726113455,0.785587046,-0.435891205,-0.337142033,0.357766302,0.63350122,-0.646454881,0.321457871,-0.144070447,0.660975047,-0.308721869,0.36747464
R2-L01,0.548668445,0.104239096,0.578887903,0.134219706,0.114467283,-0.251847691,0.838629076,0.115100193,-0.460255835,-0.266665855,0.959846935,-0.144567558
R2-L03,0.452743248,0.051729045,0.54281041,0.046851316,-0.119602683,-0.499895145,0.830956996,0.159706467,-0.486298783,-0.794951516,0.983415078,-0.324619401
R2-L04,0.126472659,0.139256824,0.381847785,0.016723857,-0.076363253,-0.250688362,0.713110115,-0.015242281,-0.716988991,-0.514670316,0.885998647,-0.389151305
R3-L02,0.131922252,-0.579217649,0.72524753,0.401534468,0.085060189,-0.789118369,0.892704502,-0.132801325,0.396910037,-0.91346023,0.862310646,-0.462377685
R3-L03,0.175870632,-0.136056924,0.125677102,0.021009237,-0.076880216,-0.681020743,0.510106864,-0.22566615,-0.206164559,-0.677682661,0.871375533,-0.723332855
R3-L05,0.142987456,-0.553105899,0.74368725,0.344027602,0.191189116,-0.828986359,0.899662359,-0.238978857,0.653927454,-0.83333459,0.922935305,-0.950355163
R4-L03,0.345047374,0.681881898,-0.632503099,-0.112722761,0.06980168,0.444742336,-0.714467639,0.321488413,-0.353021627,0.528462402,0.390336996,0.708242877
R4-L04,-0.050087918,0.348601678,0.371288295,-0.150682423,-0.125666134,-0.048943008,0.632039538,-0.460184416,-0.564875239,-0.277386054,0.873584439,-0.62176727
R4-L05,0.823242206,0.750850097,0.541388012,0.081972478,0.752598466,0.609716221,0.784888896,-0.411143912,0.427273843,0.379913916,0.890001167,-0.811444865
R9-L11,0.060241213,-0.120700669,0.318231946,0.032407813,0.122590082,-0.536551438,0.73857209,0.028258434,0.845324435,-0.923428214,0.957894998,0.630081922
R9-L12,-0.333224695,0.204161584,0.474676327,0.337638436,-0.136517844,-0.462418213,0.830774616,0.608159209,-0.778395741,-0.959024043,0.969829036,0.945482784
R9-L13,0.11575447,0.106118774,0.354800215,0.123087619,0.501387548,-0.36135808,0.804366713,0.361809477,0.891999564,-0.567917847,0.981794032,0.825040373
R10-L11,0.841578924,-0.332537472,0.561708736,0.202204716,0.782479199,-0.597088259,0.820145197,0.091842975,0.974975548,-0.336698288,0.947323758,0.65162812
R10-L13,0.454244173,-0.429105786,0.307243696,0.264038038,0.378710702,-0.749505116,0.79234938,0.288473708,0.950948447,-0.945874353,0.941628527,0.726702697
R10-L14,-0.812588307,0.065945315,0.375139074,-0.031815072,-0.835427141,-0.419046354,0.619850222,-0.026424258,-0.851739261,-0.803175404,0.892504321,0.680343988
R11-L12,-0.108088314,-0.181985529,-0.427034496,-0.304972625,0.136409425,-0.790326475,-0.03443845,-0.090539169,0.666503813,-0.915772307,0.669272341,0.482428321
R11-L13,0.781019,0.012813173,0.005920345,0.022488189,0.627521608,-0.563263603,-0.61381936,0.526158696,0.938026816,-0.882933461,-0.94294748,0.779877595
R11-L15,-0.032495543,-0.212963434,0.066914653,0.032941023,-0.140064432,-0.786091381,0.679341265,0.651851965,0.584521072,-0.974308769,0.870510078,0.744617924
R12-L13,0.079855228,-0.041260549,0.250641791,0.085656853,0.145571565,-0.494736415,0.799257276,-0.018742917,0.860617748,-0.751885778,0.965008725,-0.157143285
R12-L14,0.431902811,-0.15437224,0.008213465,-0.358835982,0.189950465,-0.524822991,0.451823692,-0.443014025,0.410087079,-0.651848404,0.833967281,0.291317891
R12-L15,0.920174478,0.074184875,-0.115024315,-0.123059775,0.871288847,-0.380127622,0.491077379,0.27679654,0.841676621,-0.733180872,0.847416549,0.160129302
